time,value
0.0976,45239
0.10693,45316
0.11628,43949
0.12562,44018
0.13495,44300
0.1443,44492
0.15363,43355
0.16297,44310
0.17232,42700
0.18165,42238
0.19098,44763
0.20033,41647
0.20967,42561
0.219,42741
0.22835,42811
0.23768,39816
0.24702,41992
0.25637,39487
0.2657,42004
0.27505,38709
0.28438,39689
0.29372,39958
0.30307,40211
0.3124,39088
0.32173,40694
0.33108,39870
0.34042,37933
0.34975,40277
0.3591,38725
0.36843,38401
0.37777,39677
0.38712,39139
0.39645,40669
0.40578,38190
0.41513,39117
0.42447,38841
0.4338,39157
0.44315,36296
0.45248,34269
0.46183,28638
0.47117,23219
0.4805,18230
0.48985,17404
0.49918,16385
0.50852,16679
0.51787,16721
0.5272,15884
0.53653,15280
0.54588,15473
0.55522,13868
0.56455,13616
0.5739,13861
0.58323,16573
0.59257,13040
0.60192,14042
0.61125,13901
0.6206,13822
0.62993,13631
0.63927,15006
0.64862,14974
0.65795,12849
0.66728,13924
0.67663,14038
0.68597,14022
0.6953,13047
0.70465,14841
0.71398,13715
0.72332,14177
0.73267,13181
0.742,13191
0.75133,13247
0.76068,13305
0.77002,13469
0.77935,14472
0.7887,12066
0.79803,12190
0.80738,12596
0.81672,13710
0.82605,13020
0.8354,12281
0.84473,12706
0.85407,12449
0.86342,11679
0.87275,12485
0.88208,12552
0.89143,12832
0.90077,13581
0.9101,12980
0.91945,13163
0.92878,12140
0.93812,12835
0.94747,13108
0.9568,12854
0.96613,11650
0.97548,11826
0.98482,12495
0.99417,12213
1.0035,12206
1.01283,13444
1.02218,13555
1.03152,11745
1.04085,13362
1.0502,12125
1.05953,12455
1.06887,12195
1.07822,12383
1.08755,12884
1.09688,12174
1.10623,12533
1.11557,12789
1.1249,11503
1.13425,12158
1.14358,11418
1.15292,12887
1.16227,11392
1.1716,11726
1.18095,12074
1.19028,13109
1.19962,11013
1.20897,11169
1.2183,11911
1.22763,12880
1.23698,10942
1.24632,11803
1.25565,11756
1.265,11958
1.27433,12018
1.28367,11698
1.29302,11125
1.30235,11310
1.31168,11350
1.32103,11788
1.33037,10619
1.3397,12009
1.34905,11571
1.35838,10147
1.36773,9826
1.37707,10743
1.3864,12632
1.39575,10394
1.40508,11659
1.41442,11989
1.42377,11015
1.4331,11795
1.44243,11390
1.45178,11701
1.46112,12036
1.47045,12152
1.4798,11939
1.48913,12158
1.49847,11638
1.50782,10582
1.51715,10622
1.52648,10575
1.53583,11774
1.54517,10062
1.55452,11160
1.56385,10578
1.57318,10623
1.58253,10694
1.59187,10857
1.6012,13509
1.61055,20306
1.61988,27767
1.62922,32673
1.63857,40181
1.6479,53817
1.65723,64704
1.66658,71904
1.67592,65743
1.68525,59108
1.6946,50820
1.70393,41015
1.71328,30954
1.72262,28932
1.73195,31027
1.7413,34906
1.75063,38054
1.75997,42412
1.76932,45839
1.77865,46415
1.78798,48015
1.79733,48928
1.80667,48047
1.816,48142
1.82535,47029
1.83468,46540
1.84402,46302
1.85337,44630
1.8627,47006
1.87203,57255
1.88138,90060
1.89072,151462
1.90007,204289
1.9094,233987
1.91873,295786
1.92808,554443
1.93742,1205540
1.94675,2238828
1.9561,3033024
1.96543,2989724
1.97477,2450430
1.98412,1847224
1.99345,1405690
2.00278,1155150
2.01213,991673
2.02147,861355
2.0308,709664
2.04015,526273
2.04948,388394
2.05882,291704
2.06817,223692
2.0775,174169
2.08685,187889
2.09618,603281
2.10552,1099719
2.11487,812445
2.1242,417893
2.13353,254875
2.14288,231921
2.15222,196874
2.16155,157612
2.1709,128878
2.18023,120964
2.18957,150554
2.19892,181095
2.20825,158584
2.21758,128907
2.22693,117694
2.23627,167191
2.2456,479512
2.25495,2221117
2.26428,4678557
2.27363,4658598
2.28297,3278193
2.2923,2005052
2.30165,1266614
2.31098,1805704
2.32032,4559858
2.32967,5748635
2.339,3704466
2.34833,1712437
2.35768,770259
2.36702,393493
2.37635,257265
2.3857,215100
2.39503,204682
2.40437,182848
2.41372,167768
2.42305,151112
2.4324,140914
2.44173,137458
2.45107,121872
2.46042,117459
