Var1,Rt,TArea,Theight,Tstart,Tend
1,1.65723,304866.68286445,45933.3069053708,1.58253,1.72262
2,1.9561,21355362.2131148,3289517.8852459,1.8627,2.08685
3,2.10552,424672.262295082,138625.06557377,2.08685,2.1242
4,2.15222,652990.106557377,161487.434426229,2.1242,2.18023
5,2.19892,687837.200819672,208363.803278689,2.18023,2.22693
6,2.27363,12150760.057377,3251094.39344262,2.22693,2.30165
7,2.32967,32690321.6106557,9916003.83606557,2.30165,2.46042
8,2.47908,358873.31147541,72010.0163934426,2.46042,2.53512
9,2.58182,811096.618852459,179277.827868852,2.53512,2.61918
10,2.63785,676630.108695652,123844.270491803,2.61918,2.70323
11,2.74992,601409.526728439,140969.964005702,2.70323,2.7686
12,2.78728,1114523.00534569,181325.489308624,2.7686,2.85265
13,2.87133,556082.540449038,125795.051674982,2.85265,2.95538
14,3.06745,263640.968379447,63797.0909090909,3.0301,3.12348
15,3.4597,80354,20647.2,3.44102,3.49705
16,3.58112,1590109.29891304,403466.793478261,3.53442,3.66517
17,3.68383,96832.25,26775.6630434783,3.66517,3.71187
18,3.73988,60311.4402173913,18309.097826087,3.71187,3.7679
19,3.83327,1731204,459534,3.78657,3.8893
20,3.95468,320082.777173913,65618.25,3.91732,4.02005
21,4.05742,875576.097826087,157535.5,4.02005,4.1508
22,4.28155,81140.0670289855,21478.1920289855,4.25353,4.3189
23,4.33758,36440.1286231884,12675.5833333333,4.3189,4.3656
24,4.49635,64081.8494983278,17910.2341137124,4.459,4.52437
25,4.89793,100502.875,24648.6666666667,4.86058,4.94463
26,5.20613,37603.063938619,17273.8567774936,5.16877,5.23415
27,5.30885,1076255.64322251,253446.332480818,5.24348,5.38357
28,5.41158,106654.699488491,24638.5242966752,5.38357,5.46762
29,5.56102,240158.857142857,61040.1428571429,5.50498,5.59837
30,5.7011,159629.099516908,30533.6869565217,5.67308,5.7478
31,5.78515,251217.22173913,47959.0956521739,5.7478,5.82252
32,5.85053,169133.333333333,31937.8289855073,5.82252,5.89723
33,5.93458,730195.579710145,129584.455072464,5.89723,6.056
34,6.42957,4162985.16666667,1231616.47619048,6.35485,6.51362
35,7.2514,356592.352941176,73797.0588235294,7.20472,7.33547
36,7.41952,598869.746376812,160317.275362319,7.38215,7.4662
37,7.49423,84582.9782608695,22229.4057971014,7.4662,7.55027
38,7.8678,329647.056064073,89007.4599542334,7.8211,7.89582
39,7.92383,272366.332951945,68363,7.89582,7.9425
40,7.9892,494979.961098398,81603.2677345538,7.9425,8.02655
41,8.04523,121100.3798627,31236.8947368421,8.02655,8.07325
42,8.10127,136647.242562929,33243.5652173913,8.07325,8.1573
43,8.7737,80867,25756,8.73633,8.79237
44,8.82973,167632,49648,8.79237,8.85775
45,9.10057,123531,27125,9.03518,9.12858
46,9.24998,437151.78125,106334.03125,9.2033,9.31537
47,9.39008,1034137.06793478,229742.304347826,9.35272,9.47413
48,9.56752,183715.050167224,52427.2107023411,9.52083,9.59553
49,9.7543,5742108.55335968,1455563.39920949,9.70762,9.82902
50,9.85703,481218.743083004,104115.355731225,9.82902,9.88505
51,9.94108,820437.731225297,147523.790513834,9.88505,9.97845
52,10.0158,760242.351778656,208686.264822134,9.97845,10.0625
53,10.14655,10631157.6086957,3267146.01185771,10.0625,10.16523
54,10.1839,10645725.56917,3645209.70355731,10.16523,10.2306
55,10.25862,174599.887351779,43134.4308300395,10.2306,10.30532
56,10.48277,122010.086956522,30721.4565217391,10.42673,10.54813
57,10.65087,51423.25,22021.9347826087,10.61352,10.66955
58,10.69757,33646.902173913,11136.8043478261,10.66955,10.71623
59,10.80963,945527.718260869,281547.996521739,10.78162,10.85633
60,10.89368,40163.1486956522,14263.7286956522,10.86567,10.9217
61,11.12717,132992.072463768,27282.0217391304,11.08047,11.20188
62,11.36065,303323.880434783,74244.9855072464,11.32328,11.398
63,11.41668,78359.7608695652,23688.1376811594,11.398,11.45403
64,11.48205,140818.994565217,42998.75,11.45403,11.52875
65,11.58478,565782.411231884,132553.695652174,11.52875,11.63148
66,11.6595,152794.007246377,30383.3188405797,11.63148,11.69685
67,11.94902,116822.434782609,34025.347826087,11.91165,11.98637
68,12.02373,132166.086956522,32202.4347826087,11.98637,12.07977
69,12.19183,403981.599033816,129960.1352657,12.14513,12.21985
70,12.23853,98702.8623188406,34464.7971014493,12.21985,12.2572
71,12.28522,430840.43236715,132729.241545894,12.2572,12.32258
72,12.34125,57701.3429951691,18196.4444444444,12.32258,12.36927
73,12.40663,111719,30361,12.36927,12.44398
74,12.65878,124011.826086957,28894.0724637681,12.62143,12.70548
75,13.08838,34697.6,16152.8,13.06972,13.11642
76,13.22848,11632492.1054987,3542083.32608696,13.17245,13.3032
77,13.35923,60946.4501278772,17873.6636828644,13.34055,13.38725
78,13.40592,66832.9961636828,27771.4488491049,13.38725,13.43393
79,13.45262,33647.2563938619,11545.6918158568,13.43393,13.48063
80,13.53667,327846.071146245,97334.5612648221,13.49932,13.5927
81,13.91958,1456912.77272727,377274.863636364,13.8542,13.98495
82,14.07835,33153672.770751,10129541.201581,14.02232,14.14372
83,14.2091,448281.171936759,83059.8972332016,14.14372,14.24645
84,14.34918,194906.846153846,57071.6923076923,14.31182,14.38653
85,14.47993,433761.923076923,117950.307692308,14.44257,14.52662
86,14.66672,321987.608695652,84200.5,14.62002,14.72275
87,14.8068,84118.5644804716,21700.0700073692,14.7601,14.8535
88,14.88152,112282.552689757,39959.3913043478,14.8535,14.91887
89,14.9749,76612.8305084746,25833.8644067797,14.93755,14.99358
90,15.01227,71568.406779661,23258.1016949153,14.99358,15.03093
91,15.0683,155838.813559322,34311.4576271186,15.03093,15.10565
92,15.13367,112042.661016949,39350.3728813559,15.115,15.17103
93,15.22707,628204.245762712,148822.966101695,15.17103,15.27375
94,15.37648,69398.9881422925,24816.0276679842,15.33913,15.41385
95,15.53525,444453.739130435,120849.869565217,15.46988,15.58195
96,15.666,250509.400434783,43271.4913043478,15.58195,15.69402
97,15.7127,141569.256521739,43583.1782608696,15.69402,15.74072
98,15.7594,174881.543478261,44102.8652173913,15.74072,15.79675
99,15.85278,1733919.14347826,382099.559130435,15.79675,15.89015
100,15.90882,279737.463043478,72931.4843478261,15.89015,15.95552
101,16.00222,296923.495652174,84286.76,15.95552,16.03957
102,16.1423,89353.6129032258,22136.4193548387,16.0956,16.19833
103,16.2357,169126.451612903,38030.2580645161,16.19833,16.26372
104,16.3104,6322506.61290323,1898932.12903226,16.26372,16.38512
105,16.46917,71312,23413.4545454545,16.4505,16.51587
106,16.64662,84567.4631093544,24053.1805006588,16.6186,16.68397
107,16.71198,101138.331357049,32605.6548089592,16.68397,16.73067
108,16.75868,371015.127140975,115181.757575758,16.73067,16.79605
109,16.84273,169260.584980237,38939.255599473,16.79605,16.8801
110,16.9268,244079.415019763,56370.4123847167,16.8801,16.95482
111,16.97348,182328.539525692,40548.6442687747,16.95482,17.01085
112,17.0482,480097.839591568,94584.3109354414,17.01085,17.13225
113,17.15093,126547.901515152,37266.3787878788,17.13225,17.17895
114,17.19763,63003.5757575758,17481.3939393939,17.17895,17.22565
115,17.33772,37760.1775872627,15061.9908144519,17.29102,17.3564
116,17.39375,855258.106552358,257949.941824862,17.3564,17.44045
117,17.5245,15184219.1935089,4437769.94549908,17.46847,17.5712
118,17.58987,148030.958665034,36950.4776484997,17.5712,17.62723
119,17.77665,257232.342008573,47111.5309246785,17.74863,17.8327
120,17.87005,319933.512553582,59206.7391304348,17.8327,17.92608
121,17.94477,59022.1821800367,19160.2645437844,17.92608,17.97278
122,18.13155,300094.754475703,52250.094629156,18.09418,18.22493
123,18.32767,164233.938735178,32340.4743083004,18.27163,18.34635
124,18.37437,275627.151185771,62952.5988142293,18.34635,18.40238
125,18.42107,176585.537549407,48062.0731225296,18.40238,18.44908
126,18.46775,72528.3853754941,25540.5039525692,18.44908,18.48643
127,18.52378,408801.288537549,112180.507905138,18.48643,18.55182
128,18.57048,83347.3942687747,30176.5909090909,18.55182,18.5985
129,18.63587,74373.9901185771,20206.2213438735,18.60785,18.67322
130,18.7386,169828.897993311,35072.0434782609,18.71057,18.79463
131,18.93472,163997.192934783,51543.0067934783,18.89735,18.9534
132,18.98142,305348.403532609,69212.4089673913,18.9534,19.01877
133,19.09348,2272990.796875,517021.53125,19.01877,19.15885
134,19.2429,33800.783887468,12086.7391304348,19.21488,19.26158
135,19.32697,644612.850383632,162097.531969309,19.26158,19.383
136,19.49507,102844.347826087,23409.9275362319,19.45772,19.53242
137,19.65383,68811.0144927536,23700.9710144928,19.62582,19.68185
138,19.74722,334238.710144928,71996.7101449275,19.68185,19.77523
139,19.88732,230337.789855072,62642.4492753623,19.84995,19.94335
140,19.97137,64242.384057971,16325.5362318841,19.94335,20.00872
141,20.17683,116629.886645963,31664.8167701863,20.13947,20.21418
142,20.25153,38303.8276397516,10312.4378881988,20.21418,20.27022
143,20.38228,33307.5217391304,10348.4565217391,20.34493,20.41965
144,20.48502,130029.493311037,38445.491638796,20.44767,20.53172
145,20.58775,1464217.96001824,446269.351778656,20.53172,20.6251
146,20.65312,438979.302371541,119847.138339921,20.6251,20.70917
147,21.1948,53321.3636363636,20650.9090909091,21.16678,21.23215
148,21.29753,207388.8,56595.5,21.26017,21.34422
149,21.58703,343548.835284281,92827.8913043478,21.54968,21.6244
150,21.70845,198536.976588629,36951.4565217391,21.6711,21.78317
151,21.91392,77638.3060869565,21088.3669565217,21.87655,21.95127
152,22.0073,230575.466956522,65264.88,21.9606,22.03532
153,22.06333,69103.9278260869,17753.8139130435,22.03532,22.11003
154,22.17542,171233.042490119,53313.8992094862,22.13805,22.20343
155,22.23145,62642.185770751,16085.7608695652,22.20343,22.25012
156,22.29682,331698.934782609,67926.9782608696,22.25012,22.34352
157,22.39022,247956.413043478,41668.3260869565,22.34352,22.42757
158,22.45558,152259.493083004,30275.152173913,22.42757,22.51162
159,22.60502,280302.53604119,40342.7643020595,22.53963,22.68907
160,22.71708,97697.1224256293,29217.9679633867,22.68907,22.7451
161,22.77312,112786.778032037,22751.0480549199,22.7451,22.81047
162,22.83848,90676.9359267735,26504.8443935927,22.81047,22.8665
163,23.36148,207220.782608696,59445.5869565217,23.32413,23.3895
164,23.73505,108919.248792271,25140.0579710145,23.68835,23.7724
165,24.65028,38281.3881987578,10308.1677018633,24.63162,24.68765
166,25.49082,160012.695652174,30326.0434782609,25.44412,25.55618
167,26.51813,84984.7826086956,19562,26.46208,26.5368
168,27.52675,258779.440993789,34037.1180124224,27.46138,27.59213
169,28.69415,560044.926086957,158801.066666667,28.6568,28.75018
170,29.2078,112924.012681159,27104.481884058,29.15177,29.24517
171,29.45997,67619.7123745819,19061.4280936455,29.43195,29.50667
172,30.17908,74173.4099378882,22100.9068322981,30.1604,30.19777
173,30.21643,58791.3354037267,23155.6956521739,30.19777,30.23512
174,30.4219,242474.369565217,49668.5869565217,30.36587,30.47793
175,30.52463,28112.347826087,11586.9130434783,30.49662,30.54332
176,30.96357,20185.4782608695,10370.0289855073,30.93555,30.98225
