D:\数据\20211117中山一医采样\ZS1E-Z-000001.D Wed Nov 17 19:37:15 2021,
Start of data points,
0.09742,44286
0.10677,45363
0.1161,42394
0.12545,42863
0.13478,44960
0.14412,42631
0.15347,45119
0.1628,42669
0.17213,41549
0.18148,40874
0.19082,40922
0.20015,42106
0.2095,42257
0.21883,41370
0.22817,40216
0.23752,41381
0.24685,40179
0.25618,40372
0.26553,38914
0.27487,39148
0.2842,38334
0.29355,42710
0.30288,38695
0.31223,37916
0.32157,39135
0.3309,38637
0.34025,40400
0.34958,39985
0.35892,40070
0.36827,38452
0.3776,38111
0.38693,37971
0.39628,37043
0.40562,37028
0.41495,38178
0.4243,38091
0.43363,36353
0.44297,31614
0.45232,29737
0.46165,25860
0.47098,17723
0.48033,16212
0.48967,14849
0.49902,15382
0.50835,15171
0.51768,16214
0.52703,14013
0.53637,15459
0.5457,13914
0.55505,12825
0.56438,14373
0.57372,13033
0.58307,13810
0.5924,12705
0.60173,13518
0.61108,13849
0.62042,14608
0.62975,13175
0.6391,12690
0.64843,13268
0.65778,12530
0.66712,12608
0.67645,13108
0.6858,12610
0.69513,12174
0.70447,13322
0.71382,12903
0.72315,13603
0.73248,14086
0.74183,12004
0.75117,12408
0.7605,11839
0.76985,12218
0.77918,12779
0.78852,13310
0.79787,11952
0.8072,13500
0.81653,12668
0.82588,11924
0.83522,12349
0.84457,12654
0.8539,11288
0.86323,13092
0.87258,11605
0.88192,12674
0.89125,12106
0.9006,11610
0.90993,11621
0.91927,11949
0.92862,11239
0.93795,11044
0.94728,12271
0.95663,11874
0.96597,11261
0.9753,11255
0.98465,11786
0.99398,11954
1.00332,10703
1.01267,12006
1.022,12063
1.03135,10880
1.04068,11989
1.05002,10560
1.05937,10865
1.0687,11537
1.07803,12414
1.08738,11118
1.09672,10870
1.10605,12563
1.1154,11013
1.12473,11078
1.13407,11902
1.14342,11633
1.15275,11861
1.16208,11348
1.17143,10952
1.18077,10910
1.1901,10069
1.19945,10777
1.20878,11521
1.21813,10823
1.22747,11241
1.2368,10771
1.24615,10494
1.25548,10497
1.26482,10787
1.27417,10469
1.2835,10648
1.29283,10527
1.30218,11046
1.31152,11864
1.32085,9780
1.3302,12485
1.33953,10900
1.34887,11626
1.35822,10464
1.36755,10602
1.37688,10010
1.38623,11438
1.39557,11016
1.40492,10890
1.41425,10336
1.42358,9597
1.43293,9991
1.44227,10941
1.4516,11361
1.46095,10797
1.47028,10546
1.47962,10715
1.48897,10783
1.4983,9227
1.50763,10594
1.51698,9880
1.52632,10394
1.53565,10806
1.545,10805
1.55433,10437
1.56367,11016
1.57302,10817
1.58235,10789
1.5917,10501
1.60103,12301
1.61037,17248
1.61972,26285
1.62905,31119
1.63838,37618
1.64773,49399
1.65707,63008
1.6664,68980
1.67575,67079
1.68508,57575
1.69442,53090
1.70377,43031
1.7131,31884
1.72243,28681
1.73178,30781
1.74112,31603
1.75047,37405
1.7598,40719
1.76913,46379
1.77848,48450
1.78782,47686
1.79715,49480
1.8065,49051
1.81583,48437
1.82517,48120
1.83452,48560
1.84385,46785
1.85318,46074
1.86253,46965
1.87187,58130
1.8812,92639
1.89055,153875
1.89988,200716
1.90922,219934
1.91857,286407
1.9279,576534
1.93725,1316129
1.94658,2485119
1.95592,3338390
1.96527,3173441
1.9746,2461856
1.98393,1798799
1.99328,1344737
2.00262,1087842
2.01195,918809
2.0213,793682
2.03063,650666
2.03997,490636
2.04932,366217
2.05865,270310
2.06798,205067
2.07733,158043
2.08667,130194
2.096,157108
2.10535,190280
2.11468,157182
2.12403,123250
2.13337,128665
2.1427,195354
2.15205,214012
2.16138,169695
2.17072,134986
2.18007,127601
2.1894,173877
2.19873,261758
2.20808,231679
2.21742,163089
2.22675,122079
2.2361,144264
2.24543,284035
2.25477,1303484
2.26412,3192142
2.27345,3305880
2.28278,2365938
2.29213,1449505
2.30147,962732
2.31082,2069639
2.32015,6973754
2.32948,9971833
2.33883,6994585
2.34817,3293440
2.3575,1415384
2.36685,658958
2.37618,364982
2.38552,271704
2.39487,228690
2.4042,189036
2.41353,169563
2.42288,151295
2.43222,136858
2.44155,121212
2.4509,110780
2.46023,105201
2.46958,120899
2.47892,130622
2.48825,121109
2.4976,104037
2.50693,92811
2.51627,87223
2.52562,81514
2.53495,79473
2.54428,79944
2.55363,93810
2.56297,120954
2.5723,176062
2.58165,239803
2.59098,217019
2.60032,174843
2.60967,146107
2.619,133524
2.62833,151700
2.63768,185413
2.64702,183667
2.65637,162351
2.6657,141677
2.67503,121519
2.68438,101785
2.69372,81750
2.70305,78649
2.7124,76936
2.72173,94301
2.73107,125736
2.74042,169548
2.74975,202551
2.75908,208690
2.76843,197351
2.77777,201226
2.7871,238657
2.79645,252286
2.80578,222770
2.81512,195029
2.82447,181265
2.8338,166050
2.84315,140835
2.85248,123422
2.86182,122507
2.87117,159129
2.8805,194989
2.88983,173378
2.89918,138916
2.90852,109793
2.91785,96409
2.9272,87376
2.93653,87175
2.94587,80208
2.95522,72742
2.96455,70449
2.97388,71283
2.98323,68004
2.99257,69638
3.0019,79821
3.01125,94260
3.02058,110816
3.02993,103197
3.03927,101347
3.0486,116222
3.05795,126824
3.06728,145008
3.07662,151638
3.08597,136103
3.0953,107065
3.10463,91287
3.11398,76722
3.12332,68695
3.13265,67959
3.142,70083
3.15133,72678
3.16067,77233
3.17002,85003
3.17935,86198
3.18868,80308
3.19803,75561
3.20737,75635
3.21672,74504
3.22605,73829
3.23538,70261
3.24473,65971
3.25407,65485
3.2634,64564
3.27275,62130
3.28208,61622
3.29142,61308
3.30077,63613
3.3101,68655
3.31943,69754
3.32878,68028
3.33812,67526
3.34745,64291
3.3568,63969
3.36613,63575
3.37548,62438
3.38482,60690
3.39415,59373
3.4035,57084
3.41283,62838
3.42217,68770
3.43152,74989
3.44085,75982
3.45018,81322
3.45953,85798
3.46887,85166
3.4782,78671
3.48755,74345
3.49688,70897
3.50622,65333
3.51557,64697
3.5249,64805
3.53423,62725
3.54358,61239
3.55292,72419
3.56227,133659
3.5716,305293
3.58093,474250
3.59028,445299
3.59962,276670
3.60895,161665
3.6183,123542
3.62763,120605
3.63697,108319
3.64632,99045
3.65565,89004
3.66498,87110
3.67433,88221
3.68367,91735
3.693,90643
3.70235,82113
3.71168,71869
3.72102,67063
3.73037,73892
3.7397,80936
3.74905,82415
3.75838,73090
3.76772,69866
3.77707,63683
3.7864,60868
3.79573,59689
3.80508,66060
3.81442,107463
3.82375,263658
3.8331,483704
3.84243,523322
3.85177,373805
3.86112,226839
3.87045,138082
3.87978,96815
3.88913,80791
3.89847,80474
3.9078,86906
3.91715,97313
3.92648,92836
3.93583,93449
3.94517,99543
3.9545,121622
3.96385,129078
3.97318,115532
3.98252,98302
3.99187,79217
4.0012,70251
4.01053,64539
4.01988,63155
4.02922,61783
4.03855,79571
4.0479,131202
4.05723,205822
4.06657,232195
4.07592,193510
4.08525,147528
4.0946,127072
4.10393,120280
4.11327,108830
4.12262,91645
4.13195,79851
4.14128,74359
4.15063,70039
4.15997,71294
4.1693,69487
4.17865,64896
4.18798,63515
4.19732,61738
4.20667,61095
4.216,64028
4.22533,68544
4.23468,64460
4.24402,61576
4.25335,61240
4.2627,59545
4.27203,64004
4.28138,83665
4.29072,86705
4.30005,84388
4.3094,77713
4.31873,71698
4.32807,74594
4.33742,74991
4.34675,81325
4.35608,76448
4.36543,68009
4.37477,62995
4.3841,63593
4.39345,71259
4.40278,68724
4.41212,65218
4.42147,61554
4.4308,57857
4.44013,55426
4.44948,55948
4.45882,55890
4.46817,56985
4.4775,61963
4.48683,69702
4.49618,76368
4.50552,78648
4.51485,70115
4.5242,62991
4.53353,61586
4.54287,66018
4.55222,69794
4.56155,65360
4.57088,62800
4.58023,59817
4.58957,60850
4.5989,60389
4.60825,57303
4.61758,61255
4.62692,58392
4.63627,60062
4.6456,65485
4.65495,77382
4.66428,80519
4.67362,75122
4.68297,69210
4.6923,67286
4.70163,68606
4.71098,76487
4.72032,72040
4.72965,67729
4.739,65960
4.74833,70659
4.75767,74797
4.76702,67531
4.77635,64472
4.78568,60986
4.79503,60226
4.80437,60316
4.8137,61019
4.82305,59692
4.83238,64057
4.84173,63884
4.85107,65541
