version: 1
n_points: 68
{
(0, 1, 2, 3, 54) 1.0
(0, 1, 2, 11, 54) 1.0
(0, 1, 2, 13, 54) 1.0
(0, 1, 2, 14, 54) 1.0
(0, 1, 2, 19, 54) 1.0
(0, 1, 2, 20, 54) 1.0
(0, 1, 2, 22, 54) 1.0
(0, 1, 2, 25, 54) 1.0
(0, 1, 2, 28, 54) 1.0
(0, 1, 2, 29, 54) 1.0
(0, 1, 2, 32, 54) 1.0
(0, 1, 2, 34, 54) 1.0
(0, 1, 2, 45, 54) 1.0
(0, 1, 2, 46, 54) 1.0
(0, 1, 2, 47, 54) 1.0
(0, 1, 2, 50, 54) 1.0
(0, 1, 2, 51, 54) 1.0
(0, 1, 2, 54, 55) 1.0
(0, 1, 2, 54, 58) 1.0
(0, 1, 2, 54, 59) 1.0
(0, 1, 2, 54, 63) 1.0
(0, 1, 2, 54, 64) 1.0
(0, 1, 2, 54, 65) 1.0
(0, 1, 2, 54, 68) 1.0
(0, 1, 2, 54, 69) 1.0
(0, 1, 2, 54, 70) 1.0
(0, 1, 2, 54, 71) 1.0
(0, 1, 2, 54, 73) 1.0
(0, 1, 2, 54, 74) 1.0
(0, 1, 2, 54, 80) 1.0
(0, 1, 2, 54, 86) 1.0
(0, 1, 2, 54, 88) 1.0
(0, 2, 3, 6, 54) 1.0
(0, 2, 3, 7, 54) 1.0
(0, 2, 3, 10, 54) 1.0
(0, 2, 3, 13, 54) 1.0
(0, 2, 3, 14, 54) 1.0
(0, 2, 3, 19, 54) 1.0
(0, 2, 3, 20, 54) 1.0
(0, 2, 3, 21, 54) 1.0
(0, 2, 3, 22, 54) 1.0
(0, 2, 3, 25, 54) 1.0
(0, 2, 3, 29, 54) 1.0
(0, 2, 3, 32, 54) 1.0
(0, 2, 3, 33, 54) 1.0
(0, 2, 3, 34, 54) 1.0
(0, 2, 3, 42, 54) 1.0
(0, 2, 3, 43, 54) 1.0
(0, 2, 3, 45, 54) 1.0
(0, 2, 3, 46, 54) 1.0
(0, 2, 3, 47, 54) 1.0
(0, 2, 3, 50, 54) 1.0
(0, 2, 3, 51, 54) 1.0
(0, 2, 3, 54, 55) 1.0
(0, 2, 3, 54, 59) 1.0
(0, 2, 3, 54, 63) 1.0
(0, 2, 3, 54, 65) 1.0
(0, 2, 3, 54, 66) 1.0
(0, 2, 3, 54, 68) 1.0
(0, 2, 3, 54, 69) 1.0
(0, 2, 3, 54, 70) 1.0
(0, 2, 3, 54, 71) 1.0
(0, 2, 3, 54, 72) 1.0
(0, 2, 3, 54, 73) 1.0
(0, 2, 3, 54, 74) 1.0
(0, 2, 3, 54, 84) 1.0
(0, 2, 3, 54, 86) 1.0
(0, 2, 3, 54, 88) 1.0
(0, 2, 6, 7, 54) 1.0
(0, 2, 6, 11, 54) 1.0
(0, 2, 6, 13, 54) 1.0
(0, 2, 6, 14, 54) 1.0
(0, 2, 6, 19, 54) 1.0
(0, 2, 6, 20, 54) 1.0
(0, 2, 6, 21, 54) 1.0
(0, 2, 6, 22, 54) 1.0
(0, 2, 6, 25, 54) 1.0
(0, 2, 6, 28, 54) 1.0
(0, 2, 6, 29, 54) 1.0
(0, 2, 6, 32, 54) 1.0
(0, 2, 6, 33, 54) 1.0
(0, 2, 6, 34, 54) 1.0
(0, 2, 6, 42, 54) 1.0
(0, 2, 6, 45, 54) 1.0
(0, 2, 6, 46, 54) 1.0
(0, 2, 6, 47, 54) 1.0
(0, 2, 6, 48, 54) 1.0
(0, 2, 6, 50, 54) 1.0
(0, 2, 6, 51, 54) 1.0
(0, 2, 6, 54, 55) 1.0
(0, 2, 6, 54, 58) 1.0
}
