(38, 53, 118) : [1.0, 4.0564819207303355e+32],
(38, 53, 159) : [1.0, 4.0564819207303355e+32],
(38, 53, 162) : [1.0, 4.0564819207303355e+32],
(38, 53, 171) : [1.0, 4.0564819207303355e+32],
(38, 53, 172) : [1.0, 4.0564819207303355e+32],
(38, 53, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 195) : [1.0, 4.0564819207303355e+32],
(47, 53, 118) : [1.0, 4.0564819207303355e+32],
(47, 53, 159) : [1.0, 4.0564819207303355e+32],
(47, 53, 162) : [1.0, 4.0564819207303355e+32],
(47, 53, 171) : [1.0, 4.0564819207303355e+32],
(47, 53, 172) : [1.0, 4.0564819207303355e+32],
(47, 53, 177) : [1.0, 4.0564819207303355e+32],
(47, 53, 178) : [1.0, 4.0564819207303355e+32],
(47, 53, 179) : [1.0, 4.0564819207303355e+32],
(47, 53, 182) : [1.0, 4.0564819207303355e+32],
(47, 53, 183) : [1.0, 4.0564819207303355e+32],
(47, 53, 184) : [1.0, 4.0564819207303355e+32],
(47, 53, 195) : [1.0, 4.0564819207303355e+32],
(53, 59, 118) : [1.0, 4.0564819207303355e+32],
(53, 59, 159) : [1.0, 4.0564819207303355e+32],
(53, 59, 162) : [1.0, 4.0564819207303355e+32],
(53, 59, 171) : [1.0, 4.0564819207303355e+32],
(53, 59, 172) : [1.0, 4.0564819207303355e+32],
(53, 59, 177) : [1.0, 4.0564819207303355e+32],
(53, 59, 178) : [1.0, 4.0564819207303355e+32],
(53, 59, 179) : [1.0, 4.0564819207303355e+32],
(53, 59, 182) : [1.0, 4.0564819207303355e+32],
(53, 59, 183) : [1.0, 4.0564819207303355e+32],
(53, 59, 184) : [1.0, 4.0564819207303355e+32],
(53, 59, 195) : [1.0, 4.0564819207303355e+32],
(53, 156, 159) : [1.0, 4.0564819207303355e+32],
(53, 156, 162) : [1.0, 4.0564819207303355e+32],
(53, 156, 171) : [1.0, 4.0564819207303355e+32],
(53, 156, 172) : [1.0, 4.0564819207303355e+32],
(53, 156, 177) : [1.0, 4.0564819207303355e+32],
(53, 156, 178) : [1.0, 4.0564819207303355e+32],
(53, 156, 179) : [1.0, 4.0564819207303355e+32],
(53, 156, 182) : [1.0, 4.0564819207303355e+32],
(53, 156, 183) : [1.0, 4.0564819207303355e+32],
(53, 156, 184) : [1.0, 4.0564819207303355e+32],
(53, 156, 195) : [1.0, 4.0564819207303355e+32],
(113, 138, 159) : [1.0, 4.0564819207303355e+32],
(113, 138, 162) : [1.0, 4.0564819207303355e+32],
(113, 138, 171) : [1.0, 4.0564819207303355e+32],
(113, 138, 172) : [1.0, 4.0564819207303355e+32],
(113, 138, 177) : [1.0, 4.0564819207303355e+32],
(113, 138, 178) : [1.0, 4.0564819207303355e+32],
(113, 138, 179) : [1.0, 4.0564819207303355e+32],
(113, 138, 182) : [1.0, 4.0564819207303355e+32],
(113, 138, 183) : [1.0, 4.0564819207303355e+32],
(113, 138, 184) : [1.0, 4.0564819207303355e+32],
(113, 138, 195) : [1.0, 4.0564819207303355e+32],
(113, 161, 162) : [1.0, 4.0564819207303355e+32],
(113, 161, 171) : [1.0, 4.0564819207303355e+32],
(113, 161, 172) : [1.0, 4.0564819207303355e+32],
(113, 161, 177) : [1.0, 4.0564819207303355e+32],
(113, 161, 178) : [1.0, 4.0564819207303355e+32],
(113, 161, 179) : [1.0, 4.0564819207303355e+32],
(113, 161, 182) : [1.0, 4.0564819207303355e+32],
(113, 161, 183) : [1.0, 4.0564819207303355e+32],
(113, 161, 184) : [1.0, 4.0564819207303355e+32],
(113, 161, 195) : [1.0, 4.0564819207303355e+32],
(113, 167, 171) : [1.0, 4.0564819207303355e+32],
(113, 167, 172) : [1.0, 4.0564819207303355e+32],
(113, 167, 177) : [1.0, 4.0564819207303355e+32],
(113, 167, 178) : [1.0, 4.0564819207303355e+32],
(113, 167, 179) : [1.0, 4.0564819207303355e+32],
(113, 167, 182) : [1.0, 4.0564819207303355e+32],
(113, 167, 183) : [1.0, 4.0564819207303355e+32],
(113, 167, 184) : [1.0, 4.0564819207303355e+32],
(113, 167, 195) : [1.0, 4.0564819207303355e+32],
(80, 118, 143) : [1.0, 4.056481920730335e+32],
(80, 118, 170) : [1.0, 4.056481920730335e+32],
(80, 159, 170) : [1.0, 4.056481920730335e+32],
(80, 162, 170) : [1.0, 4.056481920730335e+32],
(80, 118, 190) : [1.0, 4.056481920730335e+32],
(80, 159, 190) : [1.0, 4.056481920730335e+32],
(80, 162, 190) : [1.0, 4.056481920730335e+32],
(80, 171, 190) : [1.0, 4.056481920730335e+32],
(80, 172, 190) : [1.0, 4.056481920730335e+32],
(80, 177, 190) : [1.0, 4.056481920730335e+32],
(80, 178, 190) : [1.0, 4.056481920730335e+32],
(80, 179, 190) : [1.0, 4.056481920730335e+32],
(80, 182, 190) : [1.0, 4.056481920730335e+32],
(80, 183, 190) : [1.0, 4.056481920730335e+32],
(80, 184, 190) : [1.0, 4.056481920730335e+32],
(112, 118, 143) : [1.0, 4.056481920730335e+32],
(112, 118, 170) : [1.0, 4.056481920730335e+32],
(112, 159, 170) : [1.0, 4.056481920730335e+32],
(112, 162, 170) : [1.0, 4.056481920730335e+32],
(112, 118, 190) : [1.0, 4.056481920730335e+32],
(112, 159, 190) : [1.0, 4.056481920730335e+32],
(112, 162, 190) : [1.0, 4.056481920730335e+32],
(112, 171, 190) : [1.0, 4.056481920730335e+32],
(112, 172, 190) : [1.0, 4.056481920730335e+32],
(112, 177, 190) : [1.0, 4.056481920730335e+32],
