(38, 53, 118, 159) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 162) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 171) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 172) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 162) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 171) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 172) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 171) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 172) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 172) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 178, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 178, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 178, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 178, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 178, 195) : [1.0, 4.0564819207303355e+32],
