(38, 53, 118, 159, 162) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 159, 171) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 159, 172) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 159, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 159, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 159, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 159, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 159, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 159, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 159, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 162, 171) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 162, 172) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 162, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 162, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 162, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 162, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 162, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 162, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 162, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 171, 172) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 171, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 171, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 171, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 171, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 171, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 171, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 171, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 172, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 172, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 172, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 172, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 172, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 172, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 172, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 177, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 177, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 177, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 177, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 177, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 177, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 178, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 178, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 178, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 178, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 178, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 179, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 179, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 179, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 179, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 182, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 182, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 182, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 183, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 183, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 118, 184, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 162, 171) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 162, 172) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 162, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 162, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 162, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 162, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 162, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 162, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 162, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 171, 172) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 171, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 171, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 171, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 171, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 171, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 171, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 171, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 172, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 172, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 172, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 172, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 172, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 172, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 172, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 177, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 177, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 177, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 177, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 177, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 177, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 178, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 178, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 178, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 178, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 178, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 179, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 179, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 179, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 179, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 182, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 182, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 182, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 183, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 183, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 159, 184, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 171, 172) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 171, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 171, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 171, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 171, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 171, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 171, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 171, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 172, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 172, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 172, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 172, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 172, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 172, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 172, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 177, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 177, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 177, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 177, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 177, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 177, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 178, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 178, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 178, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 178, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 178, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 179, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 179, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 179, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 179, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 182, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 182, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 182, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 183, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 183, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 162, 184, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 172, 177) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 172, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 172, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 172, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 172, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 172, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 172, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 177, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 177, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 177, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 177, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 177, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 177, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 178, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 178, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 178, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 178, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 178, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 171, 179, 182) : [1.0, 4.0564819207303355e+32],
